Orthologs,TC,RTC,TCA,RTCA,Taxa,Not sure,Pythia scores
cluster11008_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.758768,0.282541,9.641913,0.311029,34,1.07193,0.12
cluster11012_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.645254,0.194664,7.807126,0.269211,32,0.913273,0.12
cluster11014_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,9.890603,0.2909,12.34825,0.363184,37,1.12451,0.05
cluster11024_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.886693,0.246853,9.882731,0.27452,39,1.28487,0.23
cluster11037_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.568315,-0.372535,-7.558229,-0.328619,26,0.499151,0.28
cluster11043_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.144864,0.43547,9.536032,0.454097,24,0.676275,0.12
cluster11065_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-7.257955,-0.381998,-6.307041,-0.33195,22,0.509616,0.17
cluster11083_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.056636,0.258761,9.764239,0.278978,38,1.35187,0.15
cluster1109_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.826184,0.220199,10.30968,0.33257,34,0.968669,0.16
cluster11094_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-9.169138,-0.295779,-6.631354,-0.213915,34,1.14736,0.38
cluster11108_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.924104,0.446205,8.750856,0.437543,23,1.04762,0.04
cluster11112_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,3.823027,0.109229,6.881575,0.196616,38,1.35649,0.13
cluster11119_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,11.525104,0.320142,12.447508,0.345764,39,0.824504,0.2
cluster11125_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,11.929621,0.361504,12.514858,0.379238,36,1.03288,0.17
cluster11131_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.640847,0.128912,6.482679,0.180074,39,1.10468,0.34
cluster11133_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.817675,0.20052,9.845802,0.289582,37,0.931686,0.1
cluster11146_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.729922,0.264543,9.264851,0.280753,36,1.41563,0.24
cluster11176_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.762274,0.375682,7.064384,0.392466,21,0.795007,0.14
cluster1119_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.119474,0.418793,7.806806,0.459224,20,1.11941,0.03
cluster11207_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,3.615852,0.10331,6.333126,0.180946,38,1.11278,0.17
cluster11238_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.674198,0.215297,7.609227,0.245459,34,0.862475,0.28
cluster11258_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.128223,0.198006,7.788398,0.216344,39,0.944674,0.25
cluster11344_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.702451,0.233408,9.004334,0.272859,36,1.31122,0.17
cluster11349_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,12.07251,0.335347,12.383354,0.343982,39,0.964097,0.08
cluster11360_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.838568,0.235813,8.1733,0.281838,32,1.17621,0.16
cluster11428_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-9.784135,-0.514954,-7.784568,-0.409714,22,0.51123,0.4
cluster11431_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,9.654345,0.292556,10.882723,0.329779,36,0.834339,0.49
cluster11438_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.550883,0.198246,6.709947,0.239641,31,1.04018,0.31
cluster1144_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,13.646733,0.379076,13.77305,0.382585,39,1.41659,0.03
cluster11453_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.144908,0.313266,8.246418,0.31717,29,0.7445,0.2
cluster1150_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,12.995102,0.618814,13.204755,0.628798,24,1.46786,0.0
cluster1151_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.679499,0.372288,10.473779,0.402838,29,0.97305,0.12
cluster11536_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.661628,0.433081,9.126428,0.456321,23,1.37004,0.1
cluster11552_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.880745,0.380029,10.358229,0.398393,29,0.575859,0.06
cluster11571_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,8.004437,0.266815,9.072645,0.302421,33,0.840474,0.22
cluster11673_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.962118,0.294893,8.346314,0.309123,30,0.883375,0.31
cluster11692_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.215342,0.228204,8.557979,0.237722,39,1.04896,0.05
cluster11703_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.000076,0.133336,6.418455,0.213949,33,0.879748,0.36
cluster11718_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,9.214899,0.271026,9.929769,0.292052,37,1.75952,0.18
cluster11723_1rr_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,9.421237,0.348935,9.921891,0.367477,30,1.15032,0.21
cluster11798_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-9.265133,-0.441197,-8.510374,-0.405256,24,1.00636,0.35
cluster11807_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.678915,0.162255,6.601314,0.188609,38,1.21876,0.31
cluster11827_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.292539,0.251702,6.735432,0.269417,28,0.983957,0.37
cluster11890_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.371779,0.265491,6.894921,0.287288,27,0.83221,0.16
cluster11912_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,12.336543,0.493462,12.383997,0.49536,28,0.711292,0.16
cluster11920_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-7.157956,-0.325362,-6.095843,-0.277084,25,0.416597,0.47
cluster11940_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-12.178308,-0.579919,-7.863867,-0.37447,24,0.593336,0.47
cluster11967_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.908087,0.24617,6.951861,0.289661,27,0.707779,0.43
cluster11989_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.611277,0.330075,6.065429,0.35679,20,0.781073,0.26
cluster11996_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.942627,0.247609,6.985603,0.291067,27,1.10823,0.16
cluster12009_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-7.306931,-0.317693,-6.516736,-0.283336,26,0.534977,0.38
cluster12038_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.671139,0.230039,7.62997,0.263102,32,0.861109,0.1
cluster12071_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.011628,0.417151,10.407762,0.433657,27,0.491527,0.04
cluster12088_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,4.505799,0.132524,7.450202,0.219124,37,1.06554,0.35
cluster12118_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.324685,0.292987,7.728117,0.309125,28,1.05226,0.25
cluster12155_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.374409,0.244291,6.813893,0.309722,25,0.226086,0.47
cluster12184_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.54656,0.231107,6.414732,0.267281,27,0.278994,0.3
cluster12216_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.251003,0.215552,7.770804,0.267959,32,0.861419,0.25
cluster12309_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.456403,0.209862,6.368454,0.244941,29,0.880289,0.22
cluster12312_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.49751,0.187396,7.229964,0.301248,27,1.4621,0.26
cluster12358_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,6.483806,0.270159,7.007843,0.291993,27,0.253706,0.25
cluster12367_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.038089,0.162519,6.181863,0.199415,34,0.934713,0.36
cluster12477_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-8.744233,-0.380184,-6.173175,-0.268399,26,0.488684,0.46
cluster12507_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.224279,0.328971,9.494142,0.379766,28,1.22805,0.11
cluster12520_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,6.674631,0.247209,7.198724,0.266619,30,1.20209,0.05
cluster12555_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.135213,0.205409,6.707211,0.268288,28,1.34063,0.21
cluster12567_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.239588,0.425858,7.353961,0.432586,20,0.410617,0.26
cluster12681_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.423529,0.235806,6.047911,0.262953,26,0.342273,0.44
cluster12714_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.456179,-0.445062,-6.283593,-0.330715,22,0.432457,0.49
cluster12772_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.934016,0.319072,9.584917,0.342318,31,1.43767,0.16
cluster12847_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.152501,0.190833,6.384041,0.236446,30,0.711615,0.04
cluster12967_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-6.217077,-0.310854,-6.205017,-0.310251,23,1.35447,0.27
cluster13073_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.048636,0.414626,7.161833,0.421284,20,1.29928,0.05
cluster13167_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.673074,0.283654,6.334007,0.3167,23,0.737698,0.38
cluster13313_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.811733,0.341867,6.388952,0.375821,20,0.45083,0.2
cluster1342_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,14.726775,0.613616,15.053068,0.627211,27,1.45191,0.01
cluster1348_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,10.903985,0.302888,12.728447,0.353568,39,1.42718,0.04
cluster13518_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,-7.649396,-0.38247,-6.29374,-0.314687,23,0.370703,0.34
cluster13682_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,-8.006069,-0.444782,-7.252452,-0.402914,21,1.19038,0.21
cluster13748_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.359554,0.243616,6.530564,0.296844,25,0.93542,0.19
cluster13754_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.56691,0.378346,7.862087,0.393104,23,0.634089,0.24
cluster13801_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.918745,0.344293,7.91434,0.344102,26,0.285209,0.23
cluster138_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,14.653699,0.610571,15.076977,0.628207,27,0.792316,0.01
cluster1383_2rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,13.1521,0.50585,13.606303,0.523319,29,0.899768,0.15
cluster1386_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.050722,0.386566,10.634414,0.409016,29,0.284877,0.23
cluster1398_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,11.428019,0.380934,12.22192,0.407397,33,0.866547,0.05
cluster1415_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.393612,0.433067,10.493535,0.437231,27,0.880165,0.04
cluster1438_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.548319,0.289343,10.169249,0.308159,36,1.205,0.0
cluster1449_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.158132,0.118804,6.915772,0.197593,38,1.50098,0.23
cluster1483_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,11.506892,0.319636,11.846111,0.329059,39,1.30844,0.2
cluster1491_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,14.749087,0.460909,14.970168,0.467818,35,1.79122,0.0
cluster1504_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.922278,0.247841,10.089388,0.280261,39,0.991296,0.21
cluster1505_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.228197,0.14094,7.400178,0.246673,33,0.907267,0.18
cluster1624_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.237623,0.568757,10.311991,0.572888,21,1.0326,0.04
cluster1639_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,4.729196,0.13512,7.904509,0.225843,38,1.41978,0.13
cluster1656_2rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,13.222096,0.36728,13.974209,0.388172,39,1.1784,0.09
cluster1663_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,5.218862,0.237221,6.24325,0.283784,25,1.617,0.15
cluster1669_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,10.945087,0.30403,11.504794,0.319578,39,1.69792,0.01
cluster1702_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.064057,0.196224,9.737838,0.270495,39,1.46476,0.02
cluster1704_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.810186,0.489455,8.842828,0.491268,21,1.03416,0.07
cluster1724_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,7.546302,0.20962,11.104862,0.308468,39,0.927743,0.17
cluster1733_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.706697,0.405616,8.088379,0.425704,22,0.91647,0.11
cluster1735_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,15.202514,0.447133,16.381808,0.481818,37,1.27326,0.07
cluster1743_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,9.863295,0.298888,9.749987,0.295454,36,1.74035,0.1
cluster1756_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,12.827086,0.356308,12.885653,0.357935,39,1.15805,0.25
cluster1802_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.584372,0.421354,7.59387,0.421882,21,1.0594,0.02
cluster1810_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,15.045562,0.417932,15.643123,0.434531,39,0.973144,0.04
cluster1813_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,7.722621,0.321776,8.000096,0.333337,27,0.945717,0.11
cluster1856_1rr_1rr_1rr_1to1orthorr.fa.at.aln.best.fas-cln,5.756057,0.164459,7.69478,0.219851,38,1.11818,0.05
cluster1879_1rr_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,14.641398,0.542274,15.333855,0.567921,30,1.28994,0.01
cluster1881_1rr_1rr_1rr_MIortho1rr.fa.at.aln.best.fas-cln,8.292235,0.414612,8.646276,0.432314,23,1.2295,0.0
